Date,Rev
2016-09-02,13210
2016-09-03,471
2016-09-04,-822
2016-09-05,-864
2016-09-06,-3185
2016-09-07,-1486
2016-09-08,-604
2016-09-09,3126
2016-09-10,-4590
2016-09-11,928
2016-09-12,-2977
2016-09-13,736
2016-09-14,-10277
2016-09-15,1510
2016-09-16,3604
2016-09-17,1181
2016-09-18,849
2016-09-19,-866
2016-09-20,-2424
2016-09-21,-3026
2016-09-22,-4190
2016-09-23,-2560
2016-09-24,2729
2016-09-25,1383
2016-09-26,-1852
2016-09-27,5259
2016-09-28,1593
2016-09-29,3642
2016-09-30,-1422
2016-10-01,2434
2016-10-02,376
2016-10-03,1300
2016-10-04,1424
2016-10-05,1558
2016-10-06,1963
2016-10-07,1704
2016-10-08,1549
2016-10-09,-1380
2016-10-10,5221
2016-10-11,4703
2016-10-12,1924
2016-10-13,918
2016-10-14,1509
2016-10-15,-1022
2016-10-16,1626
2016-10-17,-1029
2016-10-18,-1189
2016-10-19,-1441
2016-10-20,1262
2016-10-21,2268
2016-10-22,-1058
2016-10-23,3331
2016-10-24,618
2016-10-25,-665
2016-10-26,-1605
2016-10-27,1108
2016-10-28,6551
2016-10-29,-1234
2016-10-30,732
2016-11-01,-4237
2016-11-02,-1055
2016-11-03,3727
2016-11-04,-1136
2016-11-05,1593
2016-11-06,6300
2016-11-07,1897
2016-11-08,1751
2016-11-09,-6089
2016-11-10,658
2016-11-11,1440
2016-11-12,2319
2016-11-13,1697
2016-11-14,1206
2016-11-15,-3545
2016-11-16,-555
2016-11-17,646
2016-11-18,1681
2016-11-19,4237
2016-11-20,-1357
2016-11-21,2080
2016-11-22,6375
2016-11-23,2245
2016-11-24,1608
2016-11-25,784
2016-11-26,11524
2016-11-27,-338
2016-11-28,1180
2016-11-29,1357
2016-11-30,-2447
2016-12-01,-1054
2016-12-02,4662
2016-12-03,1820
2016-12-04,-3027
2016-12-05,10904
2016-12-06,1080
2016-12-07,1773
2016-12-08,4885
2016-12-09,-2275
2016-12-10,-1870
2016-12-11,1097
2016-12-12,2412
2016-12-13,1280
2016-12-14,-1705
2016-12-15,-1253
2016-12-16,-867
2016-12-17,1896
2016-12-18,745
2016-12-19,1979
2016-12-20,1748
2016-12-21,-2746
2016-12-22,1247
2016-12-23,4939
2016-12-24,1009
2016-12-25,3754
2016-12-26,-5711
2016-12-27,1874
2016-12-28,11300
2016-12-29,-2685
2016-12-30,3972
2017-01-01,1332
2017-01-02,2284
2017-01-03,-2367
2017-01-04,-1670
2017-01-05,2908
2017-01-06,2200
2017-01-07,1675
2017-01-08,1185
2017-01-09,-2845
2017-01-10,1451
2017-01-11,4565
2017-01-12,-1983
2017-01-13,2583
